Date,Region,Product,Sales
2026-08-01,South,SaaS Subscription,5149.01
2026-08-02,South,SaaS Subscription,4958.52
2026-08-03,South,SaaS Subscription,5194.31
2026-08-04,South,SaaS Subscription,5456.91
2026-08-05,South,SaaS Subscription,4929.75
2026-08-06,South,SaaS Subscription,4929.76
2026-08-07,South,SaaS Subscription,5473.76
2026-08-08,South,SaaS Subscription,5230.23
2026-08-09,South,SaaS Subscription,4859.16
2026-08-10,South,SaaS Subscription,5162.77
2026-08-11,South,SaaS Subscription,4860.97
2026-08-12,South,SaaS Subscription,4860.28
2026-08-13,South,SaaS Subscription,1200.0
2026-08-14,South,SaaS Subscription,4426.02
2026-08-15,South,SaaS Subscription,4482.52
2026-08-16,South,SaaS Subscription,4831.31
2026-08-17,South,SaaS Subscription,4696.15
2026-08-18,South,SaaS Subscription,5094.27
2026-08-19,South,SaaS Subscription,4727.59
2026-08-20,South,SaaS Subscription,4576.31
2026-08-21,South,SaaS Subscription,5439.69
2026-08-22,South,SaaS Subscription,4932.27
2026-08-23,South,SaaS Subscription,5020.26
2026-08-24,South,SaaS Subscription,4572.58
2026-08-25,South,SaaS Subscription,11500.0
2026-08-26,South,SaaS Subscription,5033.28
2026-08-27,South,SaaS Subscription,4654.7
2026-08-28,South,SaaS Subscription,5112.71
2026-08-29,South,SaaS Subscription,4819.81
2026-08-30,South,SaaS Subscription,4912.49
